Lv,ATK_Base,ATK_Pow,HP_Base,HP_Pow,DEF_Base,DEF_Pow,HPREC_Base,HPREC_Pow,CR_Base,CR_Pow,ATKT_Base,ATKT_Pow,OFFT,GOLDR,ATKR,OFFA,ATKSP,RCD,UCR_Base,UCR_Pow,ATKB,CD,DEFR,IGNDEF_Base,IGNDEF_Pow
3469,8.304311897,41,1.581121887,39,,,,,7.876,1,,,,,,,,,,,840.7,840.7,840.7,9.730133614,-1
3470,8.636484373,41,1.620649934,39,,,,,7.88,1,,,,,,,,,,,841,841,841,9.730336014,-1
3471,8.981943748,41,1.661166182,39,,,,,7.884,1,,,,,,,,,,,841.3,841.3,841.3,9.730538262,-1
3472,9.341221498,41,1.702695337,39,,,,,7.888,1,,,,,,,,,,,841.6,841.6,841.6,9.730740358,-1
3473,9.714870358,41,1.74526272,39,,,,,7.892,1,,,,,,,,,,,841.9,841.9,841.9,9.730942303,-1
3474,1.010346517,42,1.788894288,39,,,,,7.896,1,,,,,,,,,,,842.2,842.2,842.2,9.731144096,-1
3475,1.050760378,42,1.833616645,39,,,,,7.9,1,,,,,,,,,,,842.5,842.5,842.5,9.731345738,-1
3476,1.092790793,42,1.879457061,39,,,,,7.904,1,,,,,,,,,,,842.8,842.8,842.8,9.731547229,-1
3477,1.136502425,42,1.926443488,39,,,,,7.908,1,,,,,,,,,,,843.1,843.1,843.1,9.731748569,-1
3478,1.181962522,42,1.974604575,39,,,,,7.912,1,,,,,,,,,,,843.4,843.4,843.4,9.731949757,-1
3479,1.229241023,42,2.02396969,39,,,,,7.916,1,,,,,,,,,,,843.7,843.7,843.7,9.732150795,-1
3480,1.278410664,42,2.074568932,39,,,,,7.92,1,,,,,,,,,,,844,844,844,9.732351682,-1
3481,1.32954709,42,2.126433155,39,,,,,7.924,1,,,,,,,,,,,844.3,844.3,844.3,9.732552418,-1
3482,1.382728974,42,2.179593984,39,,,,,7.928,1,,,,,,,,,,,844.6,844.6,844.6,9.732753004,-1
3483,1.438038133,42,2.234083834,39,,,,,7.932,1,,,,,,,,,,,844.9,844.9,844.9,9.732953439,-1
3484,1.495559658,42,2.289935929,39,,,,,7.936,1,,,,,,,,,,,845.2,845.2,845.2,9.733153724,-1
3485,1.555382044,42,2.347184328,39,,,,,7.94,1,,,,,,,,,,,845.5,845.5,845.5,9.733353859,-1
3486,1.617597326,42,2.405863936,39,,,,,7.944,1,,,,,,,,,,,845.8,845.8,845.8,9.733553843,-1
3487,1.682301219,42,2.466010534,39,,,,,7.948,1,,,,,,,,,,,846.1,846.1,846.1,9.733753678,-1
3488,1.749593268,42,2.527660798,39,,,,,7.952,1,,,,,,,,,,,846.4,846.4,846.4,9.733953363,-1
3489,1.819576998,42,2.590852318,39,,,,,7.956,1,,,,,,,,,,,846.7,846.7,846.7,9.734152897,-1
3490,1.892360078,42,2.655623626,39,,,,,7.96,1,,,,,,,,,,,847,847,847,9.734352283,-1
3491,1.968054482,42,2.722014216,39,,,,,7.964,1,,,,,,,,,,,847.3,847.3,847.3,9.734551519,-1
3492,2.046776661,42,2.790064572,39,,,,,7.968,1,,,,,,,,,,,847.6,847.6,847.6,9.734750605,-1
3493,2.128647727,42,2.859816186,39,,,,,7.972,1,,,,,,,,,,,847.9,847.9,847.9,9.734949542,-1
3494,2.213793636,42,2.931311591,39,,,,,7.976,1,,,,,,,,,,,848.2,848.2,848.2,9.73514833,-1
3495,2.302345382,42,3.00459438,39,,,,,7.98,1,,,,,,,,,,,848.5,848.5,848.5,9.735346969,-1
3496,2.394439197,42,3.07970924,39,,,,,7.984,1,,,,,,,,,,,848.8,848.8,848.8,9.735545458,-1
3497,2.490216765,42,3.156701971,39,,,,,7.988,1,,,,,,,,,,,849.1,849.1,849.1,9.735743799,-1
3498,2.589825436,42,3.23561952,39,,,,,7.992,1,,,,,,,,,,,849.4,849.4,849.4,9.735941991,-1
3499,2.693418453,42,3.316510008,39,,,,,7.996,1,,,,,,,,,,,849.7,849.7,849.7,9.736140035,-1
3500,2.801155191,42,3.399422758,39,,,,,8,1,,,,,,,,,,,850,850,850,9.73633793,-1
3501,2.885189847,42,3.484408327,39,,,,,8.004,1,,,,,,,,,,,850.3,850.3,850.3,9.736535676,-1
3502,2.971745542,42,3.571518535,39,,,,,8.008,1,,,,,,,,,,,850.6,850.6,850.6,9.736733275,-1
3503,3.060897909,42,3.660806499,39,,,,,8.012,1,,,,,,,,,,,850.9,850.9,850.9,9.736930725,-1
3504,3.152724846,42,3.752326661,39,,,,,8.016,1,,,,,,,,,,,851.2,851.2,851.2,9.737128027,-1
3505,3.247306591,42,3.846134828,39,,,,,8.02,1,,,,,,,,,,,851.5,851.5,851.5,9.737325181,-1
3506,3.344725789,42,3.942288198,39,,,,,8.024,1,,,,,,,,,,,851.8,851.8,851.8,9.737522187,-1
3507,3.445067563,42,4.040845403,39,,,,,8.028,1,,,,,,,,,,,852.1,852.1,852.1,9.737719045,-1
3508,3.548419589,42,4.141866539,39,,,,,8.032,1,,,,,,,,,,,852.4,852.4,852.4,9.737915756,-1
3509,3.654872177,42,4.245413202,39,,,,,8.036,1,,,,,,,,,,,852.7,852.7,852.7,9.738112319,-1
3510,3.764518342,42,4.351548532,39,,,,,8.04,1,,,,,,,,,,,853,853,853,9.738308735,-1
3511,3.877453893,42,4.460337245,39,,,,,8.044,1,,,,,,,,,,,853.3,853.3,853.3,9.738505003,-1
3512,3.993777509,42,4.571845676,39,,,,,8.048,1,,,,,,,,,,,853.6,853.6,853.6,9.738701125,-1
3513,4.113590835,42,4.686141818,39,,,,,8.052,1,,,,,,,,,,,853.9,853.9,853.9,9.738897099,-1
3514,4.23699856,42,4.803295364,39,,,,,8.056,1,,,,,,,,,,,854.2,854.2,854.2,9.739092926,-1
3515,4.364108517,42,4.923377748,39,,,,,8.06,1,,,,,,,,,,,854.5,854.5,854.5,9.739288606,-1
3516,4.495031772,42,5.046462192,39,,,,,8.064,1,,,,,,,,,,,854.8,854.8,854.8,9.73948414,-1
3517,4.629882725,42,5.172623746,39,,,,,8.068,1,,,,,,,,,,,855.1,855.1,855.1,9.739679527,-1
3518,4.768779207,42,5.30193934,39,,,,,8.072,1,,,,,,,,,,,855.4,855.4,855.4,9.739874767,-1
3519,4.911842583,42,5.434487824,39,,,,,8.076,1,,,,,,,,,,,855.7,855.7,855.7,9.740069861,-1
3520,5.059197861,42,5.570350019,39,,,,,8.08,1,,,,,,,,,,,856,856,856,9.740264808,-1
3521,5.210973797,42,5.70960877,39,,,,,8.084,1,,,,,,,,,,,856.3,856.3,856.3,9.74045961,-1
3522,5.36730301,42,5.852348989,39,,,,,8.088,1,,,,,,,,,,,856.6,856.6,856.6,9.740654265,-1
3523,5.528322101,42,5.998657714,39,,,,,8.092,1,,,,,,,,,,,856.9,856.9,856.9,9.740848774,-1
3524,5.694171764,42,6.148624156,39,,,,,8.096,1,,,,,,,,,,,857.2,857.2,857.2,9.741043138,-1
3525,5.864996917,42,6.30233976,39,,,,,8.1,1,,,,,,,,,,,857.5,857.5,857.5,9.741237356,-1
3526,6.040946824,42,6.459898254,39,,,,,8.104,1,,,,,,,,,,,857.8,857.8,857.8,9.741431428,-1
3527,6.222175229,42,6.621395711,39,,,,,8.108,1,,,,,,,,,,,858.1,858.1,858.1,9.741625354,-1
3528,6.408840486,42,6.786930604,39,,,,,8.112,1,,,,,,,,,,,858.4,858.4,858.4,9.741819135,-1
3529,6.6011057,42,6.956603869,39,,,,,8.116,1,,,,,,,,,,,858.7,858.7,858.7,9.742012771,-1
3530,6.799138871,42,7.130518965,39,,,,,8.12,1,,,,,,,,,,,859,859,859,9.742206261,-1
3531,7.003113037,42,7.308781939,39,,,,,8.124,1,,,,,,,,,,,859.3,859.3,859.3,9.742399606,-1
3532,7.213206429,42,7.491501488,39,,,,,8.128,1,,,,,,,,,,,859.6,859.6,859.6,9.742592807,-1
3533,7.429602621,42,7.678789025,39,,,,,8.132,1,,,,,,,,,,,859.9,859.9,859.9,9.742785862,-1
3534,7.6524907,42,7.870758751,39,,,,,8.136,1,,,,,,,,,,,860.2,860.2,860.2,9.742978773,-1
3535,7.882065421,42,8.06752772,39,,,,,8.14,1,,,,,,,,,,,860.5,860.5,860.5,9.743171539,-1
3536,8.118527384,42,8.269215913,39,,,,,8.144,1,,,,,,,,,,,860.8,860.8,860.8,9.74336416,-1
3537,8.362083205,42,8.47594631,39,,,,,8.148,1,,,,,,,,,,,861.1,861.1,861.1,9.743556637,-1
3538,8.612945701,42,8.687844968,39,,,,,8.152,1,,,,,,,,,,,861.4,861.4,861.4,9.743748969,-1
3539,8.871334072,42,8.905041092,39,,,,,8.156,1,,,,,,,,,,,861.7,861.7,861.7,9.743941158,-1
3540,9.137474095,42,9.12766712,39,,,,,8.16,1,,,,,,,,,,,862,862,862,9.744133202,-1
3541,9.411598317,42,9.355858798,39,,,,,8.164,1,,,,,,,,,,,862.3,862.3,862.3,9.744325102,-1
3542,9.693946267,42,9.589755268,39,,,,,8.168,1,,,,,,,,,,,862.6,862.6,862.6,9.744516858,-1
3543,9.984764655,42,9.829499149,39,,,,,8.172,1,,,,,,,,,,,862.9,862.9,862.9,9.74470847,-1
3544,1.028430759,43,1.007523663,40,,,,,8.176,1,,,,,,,,,,,863.2,863.2,863.2,9.744899939,-1
3545,1.059283682,43,1.032711754,40,,,,,8.18,1,,,,,,,,,,,863.5,863.5,863.5,9.745091264,-1
3546,1.091062193,43,1.058529548,40,,,,,8.184,1,,,,,,,,,,,863.8,863.8,863.8,9.745282446,-1
3547,1.123794058,43,1.084992787,40,,,,,8.188,1,,,,,,,,,,,864.1,864.1,864.1,9.745473484,-1
3548,1.15750788,43,1.112117607,40,,,,,8.192,1,,,,,,,,,,,864.4,864.4,864.4,9.745664379,-1
3549,1.192233117,43,1.139920547,40,,,,,8.196,1,,,,,,,,,,,864.7,864.7,864.7,9.74585513,-1
3550,1.22800011,43,1.16841856,40,,,,,8.2,1,,,,,,,,,,,865,865,865,9.746045739,-1
3551,1.264840113,43,1.197629024,40,,,,,8.204,1,,,,,,,,,,,865.3,865.3,865.3,9.746236205,-1
3552,1.302785317,43,1.22756975,40,,,,,8.208,1,,,,,,,,,,,865.6,865.6,865.6,9.746426528,-1
3553,1.341868876,43,1.258258994,40,,,,,8.212,1,,,,,,,,,,,865.9,865.9,865.9,9.746616708,-1
3554,1.382124943,43,1.289715469,40,,,,,8.216,1,,,,,,,,,,,866.2,866.2,866.2,9.746806745,-1
3555,1.423588691,43,1.321958355,40,,,,,8.22,1,,,,,,,,,,,866.5,866.5,866.5,9.74699664,-1
3556,1.466296352,43,1.355007314,40,,,,,8.224,1,,,,,,,,,,,866.8,866.8,866.8,9.747186393,-1
3557,1.510285242,43,1.388882497,40,,,,,8.228,1,,,,,,,,,,,867.1,867.1,867.1,9.747376003,-1
3558,1.555593799,43,1.42360456,40,,,,,8.232,1,,,,,,,,,,,867.4,867.4,867.4,9.747565471,-1
3559,1.602261613,43,1.459194674,40,,,,,8.236,1,,,,,,,,,,,867.7,867.7,867.7,9.747754797,-1
3560,1.650329462,43,1.49567454,40,,,,,8.24,1,,,,,,,,,,,868,868,868,9.747943981,-1
3561,1.699839346,43,1.533066404,40,,,,,8.244,1,,,,,,,,,,,868.3,868.3,868.3,9.748133023,-1
3562,1.750834526,43,1.571393064,40,,,,,8.248,1,,,,,,,,,,,868.6,868.6,868.6,9.748321923,-1
3563,1.803359562,43,1.610677891,40,,,,,8.252,1,,,,,,,,,,,868.9,868.9,868.9,9.748510681,-1
3564,1.857460349,43,1.650944838,40,,,,,8.256,1,,,,,,,,,,,869.2,869.2,869.2,9.748699298,-1
3565,1.913184159,43,1.692218459,40,,,,,8.26,1,,,,,,,,,,,869.5,869.5,869.5,9.748887774,-1
3566,1.970579684,43,1.73452392,40,,,,,8.264,1,,,,,,,,,,,869.8,869.8,869.8,9.749076108,-1
3567,2.029697075,43,1.777887018,40,,,,,8.268,1,,,,,,,,,,,870.1,870.1,870.1,9.749264301,-1
3568,2.090587987,43,1.822334194,40,,,,,8.272,1,,,,,,,,,,,870.4,870.4,870.4,9.749452353,-1
3569,2.153305626,43,1.867892549,40,,,,,8.276,1,,,,,,,,,,,870.7,870.7,870.7,9.749640263,-1
3570,2.217904795,43,1.914589862,40,,,,,8.28,1,,,,,,,,,,,871,871,871,9.749828033,-1
3571,2.284441939,43,1.962454609,40,,,,,8.284,1,,,,,,,,,,,871.3,871.3,871.3,9.750015662,-1
3572,2.352975197,43,2.011515974,40,,,,,8.288,1,,,,,,,,,,,871.6,871.6,871.6,9.750203151,-1
3573,2.423564453,43,2.061803873,40,,,,,8.292,1,,,,,,,,,,,871.9,871.9,871.9,9.750390498,-1
3574,2.496271387,43,2.11334897,40,,,,,8.296,1,,,,,,,,,,,872.2,872.2,872.2,9.750577705,-1
3575,2.571159528,43,2.166182694,40,,,,,8.3,1,,,,,,,,,,,872.5,872.5,872.5,9.750764772,-1
3576,2.648294314,43,2.220337262,40,,,,,8.304,1,,,,,,,,,,,872.8,872.8,872.8,9.750951698,-1
3577,2.727743144,43,2.275845693,40,,,,,8.308,1,,,,,,,,,,,873.1,873.1,873.1,9.751138485,-1
3578,2.809575438,43,2.332741836,40,,,,,8.312,1,,,,,,,,,,,873.4,873.4,873.4,9.751325131,-1
3579,2.893862701,43,2.391060382,40,,,,,8.316,1,,,,,,,,,,,873.7,873.7,873.7,9.751511637,-1
3580,2.980678582,43,2.450836891,40,,,,,8.32,1,,,,,,,,,,,874,874,874,9.751698003,-1
3581,3.070098939,43,2.512107813,40,,,,,8.324,1,,,,,,,,,,,874.3,874.3,874.3,9.75188423,-1
3582,3.162201908,43,2.574910509,40,,,,,8.328,1,,,,,,,,,,,874.6,874.6,874.6,9.752070317,-1
3583,3.257067965,43,2.639283272,40,,,,,8.332,1,,,,,,,,,,,874.9,874.9,874.9,9.752256264,-1
3584,3.354780004,43,2.705265353,40,,,,,8.336,1,,,,,,,,,,,875.2,875.2,875.2,9.752442072,-1
3585,3.455423404,43,2.772896987,40,,,,,8.34,1,,,,,,,,,,,875.5,875.5,875.5,9.75262774,-1
3586,3.559086106,43,2.842219412,40,,,,,8.344,1,,,,,,,,,,,875.8,875.8,875.8,9.752813269,-1
3587,3.665858689,43,2.913274897,40,,,,,8.348,1,,,,,,,,,,,876.1,876.1,876.1,9.752998659,-1
3588,3.77583445,43,2.98610677,40,,,,,8.352,1,,,,,,,,,,,876.4,876.4,876.4,9.75318391,-1
3589,3.889109483,43,3.060759439,40,,,,,8.356,1,,,,,,,,,,,876.7,876.7,876.7,9.753369022,-1
3590,4.005782768,43,3.137278425,40,,,,,8.36,1,,,,,,,,,,,877,877,877,9.753553996,-1
3591,4.125956251,43,3.215710385,40,,,,,8.364,1,,,,,,,,,,,877.3,877.3,877.3,9.75373883,-1
3592,4.249734938,43,3.296103145,40,,,,,8.368,1,,,,,,,,,,,877.6,877.6,877.6,9.753923526,-1
3593,4.377226987,43,3.378505724,40,,,,,8.372,1,,,,,,,,,,,877.9,877.9,877.9,9.754108083,-1
3594,4.508543796,43,3.462968367,40,,,,,8.376,1,,,,,,,,,,,878.2,878.2,878.2,9.754292502,-1
3595,4.64380011,43,3.549542576,40,,,,,8.38,1,,,,,,,,,,,878.5,878.5,878.5,9.754476783,-1
3596,4.783114113,43,3.63828114,40,,,,,8.384,1,,,,,,,,,,,878.8,878.8,878.8,9.754660925,-1
3597,4.926607537,43,3.729238169,40,,,,,8.388,1,,,,,,,,,,,879.1,879.1,879.1,9.75484493,-1
3598,5.074405763,43,3.822469123,40,,,,,8.392,1,,,,,,,,,,,879.4,879.4,879.4,9.755028796,-1
3599,5.226637936,43,3.918030851,40,,,,,8.396,1,,,,,,,,,,,879.7,879.7,879.7,9.755212524,-1
3600,5.383437074,43,4.015981622,40,,,,,8.4,1,,,,,,,,,,,880,880,880,9.755396115,-1
3601,5.544940186,43,4.116381163,40,,,,,8.404,1,,,,,,,,,,,880.3,880.3,880.3,9.755579568,-1
3602,5.711288392,43,4.219290692,40,,,,,8.408,1,,,,,,,,,,,880.6,880.6,880.6,9.755762883,-1
3603,5.882627043,43,4.324772959,40,,,,,8.412,1,,,,,,,,,,,880.9,880.9,880.9,9.755946061,-1
3604,6.059105855,43,4.432892283,40,,,,,8.416,1,,,,,,,,,,,881.2,881.2,881.2,9.756129101,-1
3605,6.24087903,43,4.54371459,40,,,,,8.42,1,,,,,,,,,,,881.5,881.5,881.5,9.756312005,-1
3606,6.428105401,43,4.657307455,40,,,,,8.424,1,,,,,,,,,,,881.8,881.8,881.8,9.756494771,-1
3607,6.620948563,43,4.773740141,40,,,,,8.428,1,,,,,,,,,,,882.1,882.1,882.1,9.7566774,-1
3608,6.81957702,43,4.893083645,40,,,,,8.432,1,,,,,,,,,,,882.4,882.4,882.4,9.756859891,-1
3609,7.024164331,43,5.015410736,40,,,,,8.436,1,,,,,,,,,,,882.7,882.7,882.7,9.757042247,-1
3610,7.234889261,43,5.140796005,40,,,,,8.44,1,,,,,,,,,,,883,883,883,9.757224465,-1
3611,7.451935939,43,5.269315905,40,,,,,8.444,1,,,,,,,,,,,883.3,883.3,883.3,9.757406547,-1
3612,7.675494017,43,5.401048802,40,,,,,8.448,1,,,,,,,,,,,883.6,883.6,883.6,9.757588492,-1
3613,7.905758837,43,5.536075022,40,,,,,8.452,1,,,,,,,,,,,883.9,883.9,883.9,9.7577703,-1
3614,8.142931602,43,5.674476898,40,,,,,8.456,1,,,,,,,,,,,884.2,884.2,884.2,9.757951973,-1
3615,8.38721955,43,5.81633882,40,,,,,8.46,1,,,,,,,,,,,884.5,884.5,884.5,9.758133509,-1
3616,8.638836137,43,5.961747291,40,,,,,8.464,1,,,,,,,,,,,884.8,884.8,884.8,9.758314908,-1
3617,8.898001221,43,6.110790973,40,,,,,8.468,1,,,,,,,,,,,885.1,885.1,885.1,9.758496172,-1
3618,9.164941258,43,6.263560747,40,,,,,8.472,1,,,,,,,,,,,885.4,885.4,885.4,9.7586773,-1
3619,9.439889495,43,6.420149766,40,,,,,8.476,1,,,,,,,,,,,885.7,885.7,885.7,9.758858292,-1
3620,9.72308618,43,6.58065351,40,,,,,8.48,1,,,,,,,,,,,886,886,886,9.759039148,-1
3621,1.001477877,44,6.745169848,40,,,,,8.484,1,,,,,,,,,,,886.3,886.3,886.3,9.759219869,-1
3622,1.031522213,44,6.913799094,40,,,,,8.488,1,,,,,,,,,,,886.6,886.6,886.6,9.759400454,-1
3623,1.062467879,44,7.086644072,40,,,,,8.492,1,,,,,,,,,,,886.9,886.9,886.9,9.759580904,-1
3624,1.094341916,44,7.263810173,40,,,,,8.496,1,,,,,,,,,,,887.2,887.2,887.2,9.759761218,-1
3625,1.127172173,44,7.445405428,40,,,,,8.5,1,,,,,,,,,,,887.5,887.5,887.5,9.759941397,-1
3626,1.160987338,44,7.631540563,40,,,,,8.504,1,,,,,,,,,,,887.8,887.8,887.8,9.760121441,-1
3627,1.195816958,44,7.822329077,40,,,,,8.508,1,,,,,,,,,,,888.1,888.1,888.1,9.76030135,-1
3628,1.231691467,44,8.017887304,40,,,,,8.512,1,,,,,,,,,,,888.4,888.4,888.4,9.760481124,-1
3629,1.268642211,44,8.218334487,40,,,,,8.516,1,,,,,,,,,,,888.7,888.7,888.7,9.760660763,-1
3630,1.306701478,44,8.423792849,40,,,,,8.52,1,,,,,,,,,,,889,889,889,9.760840268,-1
3631,1.345902522,44,8.63438767,40,,,,,8.524,1,,,,,,,,,,,889.3,889.3,889.3,9.761019637,-1
3632,1.386279598,44,8.850247362,40,,,,,8.528,1,,,,,,,,,,,889.6,889.6,889.6,9.761198873,-1
3633,1.427867985,44,9.071503546,40,,,,,8.532,1,,,,,,,,,,,889.9,889.9,889.9,9.761377974,-1
3634,1.470704025,44,9.298291135,40,,,,,8.536,1,,,,,,,,,,,890.2,890.2,890.2,9.76155694,-1
3635,1.514825146,44,9.530748413,40,,,,,8.54,1,,,,,,,,,,,890.5,890.5,890.5,9.761735772,-1
3636,1.5602699,44,9.769017124,40,,,,,8.544,1,,,,,,,,,,,890.8,890.8,890.8,9.761914471,-1
3637,1.607077997,44,1.001324255,41,,,,,8.548,1,,,,,,,,,,,891.1,891.1,891.1,9.762093035,-1
3638,1.655290337,44,1.026357362,41,,,,,8.552,1,,,,,,,,,,,891.4,891.4,891.4,9.762271465,-1
3639,1.704949047,44,1.052016296,41,,,,,8.556,1,,,,,,,,,,,891.7,891.7,891.7,9.762449761,-1
3640,1.756097519,44,1.078316703,41,,,,,8.56,1,,,,,,,,,,,892,892,892,9.762627924,-1
3641,1.808780444,44,1.105274621,41,,,,,8.564,1,,,,,,,,,,,892.3,892.3,892.3,9.762805953,-1
3642,1.863043857,44,1.132906486,41,,,,,8.568,1,,,,,,,,,,,892.6,892.6,892.6,9.762983849,-1
3643,1.918935173,44,1.161229148,41,,,,,8.572,1,,,,,,,,,,,892.9,892.9,892.9,9.763161611,-1
3644,1.976503228,44,1.190259877,41,,,,,8.576,1,,,,,,,,,,,893.2,893.2,893.2,9.76333924,-1
3645,2.035798325,44,1.220016374,41,,,,,8.58,1,,,,,,,,,,,893.5,893.5,893.5,9.763516735,-1
3646,2.096872275,44,1.250516783,41,,,,,8.584,1,,,,,,,,,,,893.8,893.8,893.8,9.763694098,-1
3647,2.159778443,44,1.281779703,41,,,,,8.588,1,,,,,,,,,,,894.1,894.1,894.1,9.763871327,-1
3648,2.224571797,44,1.313824195,41,,,,,8.592,1,,,,,,,,,,,894.4,894.4,894.4,9.764048423,-1
3649,2.29130895,44,1.3466698,41,,,,,8.596,1,,,,,,,,,,,894.7,894.7,894.7,9.764225387,-1
3650,2.360048219,44,1.380336545,41,,,,,8.6,1,,,,,,,,,,,895,895,895,9.764402218,-1
3651,2.430849666,44,1.414844959,41,,,,,8.604,1,,,,,,,,,,,895.3,895.3,895.3,9.764578916,-1
3652,2.503775155,44,1.450216083,41,,,,,8.608,1,,,,,,,,,,,895.6,895.6,895.6,9.764755482,-1
3653,2.57888841,44,1.486471485,41,,,,,8.612,1,,,,,,,,,,,895.9,895.9,895.9,9.764931916,-1
3654,2.656255062,44,1.523633272,41,,,,,8.616,1,,,,,,,,,,,896.2,896.2,896.2,9.765108217,-1
3655,2.735942714,44,1.561724104,41,,,,,8.62,1,,,,,,,,,,,896.5,896.5,896.5,9.765284386,-1
3656,2.818020996,44,1.600767206,41,,,,,8.624,1,,,,,,,,,,,896.8,896.8,896.8,9.765460422,-1
3657,2.902561626,44,1.640786387,41,,,,,8.628,1,,,,,,,,,,,897.1,897.1,897.1,9.765636327,-1
3658,2.989638474,44,1.681806046,41,,,,,8.632,1,,,,,,,,,,,897.4,897.4,897.4,9.7658121,-1
3659,3.079327629,44,1.723851197,41,,,,,8.636,1,,,,,,,,,,,897.7,897.7,897.7,9.765987741,-1
3660,3.171707458,44,1.766947477,41,,,,,8.64,1,,,,,,,,,,,898,898,898,9.76616325,-1
3661,3.266858681,44,1.811121164,41,,,,,8.644,1,,,,,,,,,,,898.3,898.3,898.3,9.766338627,-1
3662,3.364864442,44,1.856399193,41,,,,,8.648,1,,,,,,,,,,,898.6,898.6,898.6,9.766513873,-1
3663,3.465810375,44,1.902809173,41,,,,,8.652,1,,,,,,,,,,,898.9,898.9,898.9,9.766688988,-1
3664,3.569784686,44,1.950379403,41,,,,,8.656,1,,,,,,,,,,,899.2,899.2,899.2,9.766863971,-1
3665,3.676878227,44,1.999138888,41,,,,,8.66,1,,,,,,,,,,,899.5,899.5,899.5,9.767038823,-1
3666,3.787184574,44,2.04911736,41,,,,,8.664,1,,,,,,,,,,,899.8,899.8,899.8,9.767213544,-1
3667,3.900800111,44,2.100345294,41,,,,,8.668,1,,,,,,,,,,,900.1,900.1,900.1,9.767388134,-1
3668,4.017824114,44,2.152853926,41,,,,,8.672,1,,,,,,,,,,,900.4,900.4,900.4,9.767562593,-1
3669,4.138358837,44,2.206675274,41,,,,,8.676,1,,,,,,,,,,,900.7,900.7,900.7,9.767736921,-1
3670,4.262509603,44,2.261842156,41,,,,,8.68,1,,,,,,,,,,,901,901,901,9.767911118,-1
3671,4.390384891,44,2.31838821,41,,,,,8.684,1,,,,,,,,,,,901.3,901.3,901.3,9.768085185,-1
3672,4.522096437,44,2.376347915,41,,,,,8.688,1,,,,,,,,,,,901.6,901.6,901.6,9.768259121,-1
3673,4.657759331,44,2.435756613,41,,,,,8.692,1,,,,,,,,,,,901.9,901.9,901.9,9.768432927,-1
3674,4.79749211,44,2.496650529,41,,,,,8.696,1,,,,,,,,,,,902.2,902.2,902.2,9.768606602,-1
3675,4.941416874,44,2.559066792,41,,,,,8.7,1,,,,,,,,,,,902.5,902.5,902.5,9.768780147,-1
3676,5.08965938,44,2.623043462,41,,,,,8.704,1,,,,,,,,,,,902.8,902.8,902.8,9.768953562,-1
3677,5.242349161,44,2.688619548,41,,,,,8.708,1,,,,,,,,,,,903.1,903.1,903.1,9.769126847,-1
3678,5.399619636,44,2.755835037,41,,,,,8.712,1,,,,,,,,,,,903.4,903.4,903.4,9.769300002,-1
3679,5.561608225,44,2.824730913,41,,,,,8.716,1,,,,,,,,,,,903.7,903.7,903.7,9.769473027,-1
3680,5.728456472,44,2.895349186,41,,,,,8.72,1,,,,,,,,,,,904,904,904,9.769645922,-1
3681,5.900310166,44,2.967732915,41,,,,,8.724,1,,,,,,,,,,,904.3,904.3,904.3,9.769818687,-1
3682,6.077319471,44,3.041926238,41,,,,,8.728,1,,,,,,,,,,,904.6,904.6,904.6,9.769991323,-1
3683,6.259639055,44,3.117974394,41,,,,,8.732,1,,,,,,,,,,,904.9,904.9,904.9,9.77016383,-1
3684,6.447428227,44,3.195923754,41,,,,,8.736,1,,,,,,,,,,,905.2,905.2,905.2,9.770336207,-1
3685,6.640851074,44,3.275821848,41,,,,,8.74,1,,,,,,,,,,,905.5,905.5,905.5,9.770508455,-1
3686,6.840076606,44,3.357717394,41,,,,,8.744,1,,,,,,,,,,,905.8,905.8,905.8,9.770680574,-1
3687,7.045278904,44,3.441660329,41,,,,,8.748,1,,,,,,,,,,,906.1,906.1,906.1,9.770852563,-1
3688,7.256637271,44,3.527701837,41,,,,,8.752,1,,,,,,,,,,,906.4,906.4,906.4,9.771024424,-1
3689,7.474336389,44,3.615894383,41,,,,,8.756,1,,,,,,,,,,,906.7,906.7,906.7,9.771196155,-1
3690,7.698566481,44,3.706291742,41,,,,,8.76,1,,,,,,,,,,,907,907,907,9.771367758,-1
3691,7.929523476,44,3.798949036,41,,,,,8.764,1,,,,,,,,,,,907.3,907.3,907.3,9.771539232,-1
3692,8.16740918,44,3.893922762,41,,,,,8.768,1,,,,,,,,,,,907.6,907.6,907.6,9.771710578,-1
3693,8.412431455,44,3.991270831,41,,,,,8.772,1,,,,,,,,,,,907.9,907.9,907.9,9.771881795,-1
3694,8.664804399,44,4.091052602,41,,,,,8.776,1,,,,,,,,,,,908.2,908.2,908.2,9.772052884,-1
3695,8.924748531,44,4.193328917,41,,,,,8.78,1,,,,,,,,,,,908.5,908.5,908.5,9.772223844,-1
3696,9.192490987,44,4.29816214,41,,,,,8.784,1,,,,,,,,,,,908.8,908.8,908.8,9.772394676,-1
3697,9.468265716,44,4.405616193,41,,,,,8.788,1,,,,,,,,,,,909.1,909.1,909.1,9.77256538,-1
3698,9.752313688,44,4.515756598,41,,,,,8.792,1,,,,,,,,,,,909.4,909.4,909.4,9.772735956,-1
3699,1.00448831,45,4.628650513,41,,,,,8.796,1,,,,,,,,,,,909.7,909.7,909.7,9.772906404,-1
3700,1.034622959,45,4.744366776,41,,,,,8.8,1,,,,,,,,,,,910,910,910,9.773076724,-1
